day_group,hour,cart_sessions,purchase_sessions,explicit_abandon_sessions,implicit_abandon_sessions,cart_to_purchase_rate,explicit_abandon_rate,implicit_abandon_rate
주말,0,1324,127,318,766,9.59,24.02,57.85
주말,1,1053,123,250,577,11.68,23.74,54.80
주말,2,1159,135,286,639,11.65,24.68,55.13
주말,3,1585,156,396,891,9.84,24.98,56.21
주말,4,2232,228,539,1257,10.22,24.15,56.32
주말,5,3393,405,802,1847,11.94,23.64,54.44
주말,6,4631,564,1164,2522,12.18,25.13,54.46
주말,7,5951,833,1438,3195,14.00,24.16,53.69
주말,8,6713,968,1573,3690,14.42,23.43,54.97
주말,9,7445,1049,1681,4134,14.09,22.58,55.53
주말,10,7882,1140,1834,4291,14.46,23.27,54.44
주말,11,8106,1103,1981,4349,13.61,24.44,53.65
주말,12,8042,1047,1884,4429,13.02,23.43,55.07
주말,13,7995,1039,1860,4470,13.00,23.26,55.91
주말,14,8008,1010,1902,4442,12.61,23.75,55.47
주말,15,8266,994,1950,4659,12.03,23.59,56.36
주말,16,8565,1071,2048,4747,12.50,23.91,55.42
주말,17,8837,1082,2108,4928,12.24,23.85,55.77
주말,18,9167,1110,2338,4944,12.11,25.50,53.93
주말,19,9601,1100,2342,5371,11.46,24.39,55.94
주말,20,8549,981,2072,4805,11.48,24.24,56.21
주말,21,5917,586,1416,3397,9.90,23.93,57.41
주말,22,3631,378,843,2108,10.41,23.22,58.06
주말,23,2083,214,498,1187,10.27,23.91,56.99
평일,0,3632,379,828,2113,10.44,22.80,58.18
평일,1,3200,312,779,1785,9.75,24.34,55.78
평일,2,3691,391,856,2109,10.59,23.19,57.14
평일,3,5588,596,1305,3188,10.67,23.35,57.05
평일,4,8354,958,1971,4675,11.47,23.59,55.96
평일,5,12867,1691,2992,7059,13.14,23.25,54.86
평일,6,17190,2490,3941,9260,14.49,22.93,53.87
평일,7,20759,3159,4696,11287,15.22,22.62,54.37
평일,8,22209,3378,5101,12075,15.21,22.97,54.37
평일,9,23672,3565,5268,12987,15.06,22.25,54.86
평일,10,24124,3607,5457,13169,14.95,22.62,54.59
평일,11,24897,3545,5603,13802,14.24,22.50,55.44
평일,12,25822,3500,5864,14460,13.55,22.71,56.00
평일,13,23581,3188,5387,13176,13.52,22.84,55.88
평일,14,21266,2814,4879,11898,13.23,22.94,55.95
평일,15,19715,2632,4620,10824,13.35,23.43,54.90
평일,16,20225,2654,4800,11038,13.12,23.73,54.58
평일,17,21513,2775,5145,11778,12.90,23.92,54.75
평일,18,23829,3107,5772,12965,13.04,24.22,54.41
평일,19,24294,2995,5924,13347,12.33,24.38,54.94
평일,20,21174,2466,5082,11815,11.65,24.00,55.80
평일,21,14152,1611,3266,8067,11.38,23.08,57.00
평일,22,8450,889,1986,4849,10.52,23.50,57.38
평일,23,5073,523,1145,3003,10.31,22.57,59.20
