month,user_group,session_count,avg_cart_value,avg_product_count,avg_price_per_item,avg_session_duration_min
2019-12,기타,12894,30.57,5.95,6.65,36.97
2019-12,구매자,22819,40.97,6.19,11.74,35.36
2019-12,"묵시적 이탈",89496,19.73,3.08,8.88,14.82
2019-12,"명시적 이탈",37255,43.08,7.19,9.58,37.81
2020-01,기타,15928,31.28,5.92,6.72,37.87
2020-01,구매자,25063,43.67,6.60,10.67,37.75
2020-01,"묵시적 이탈",105640,20.32,3.17,8.86,15.06
2020-01,"명시적 이탈",44839,44.39,7.43,9.51,39.32
2020-02,기타,15358,32.19,6.35,6.51,39.20
2020-02,구매자,22786,44.25,6.70,11.01,36.99
2020-02,"묵시적 이탈",103238,20.87,3.33,8.89,14.93
2020-02,"명시적 이탈",44096,45.02,8.00,9.64,38.41
