user_group,session_hour,session_day,session_count,avg_cart_value,avg_product_count,avg_price_per_item,avg_session_duration_min
no_cart,00,Saturday,77,36.25,7.03,5.59,77.28
no_cart,00,Friday,102,48.81,9.16,6.71,72.45
no_cart,00,Monday,124,66.93,10.40,7.92,99.91
no_cart,00,Thursday,104,36.91,7.17,6.08,54.84
no_cart,00,Sunday,58,18.55,4.91,5.47,45.43
no_cart,00,Wednesday,57,24.58,5.86,7.32,52.13
no_cart,00,Tuesday,99,40.67,9.81,6.59,86.11
purchase,00,Friday,154,59.71,10.01,8.28,84.71
purchase,00,Monday,173,55.93,10.27,7.17,86.73
purchase,00,Saturday,117,53.99,10.09,7.24,50.35
purchase,00,Thursday,142,58.79,10.91,9.28,63.34
purchase,00,Sunday,71,43.54,8.72,8.67,50.98
purchase,00,Tuesday,131,46.4,8.92,7.88,49.66
purchase,00,Wednesday,73,44.31,6.18,12.33,29.58
implicit_abandon,00,Friday,566,31.57,5.69,8,45.69
implicit_abandon,00,Thursday,487,26.64,5.03,7.59,27.82
implicit_abandon,00,Tuesday,500,22.84,4.05,7.85,29.37
implicit_abandon,00,Saturday,403,25.02,4.08,7.77,29.67
implicit_abandon,00,Monday,621,25.27,4.81,7.7,48.03
implicit_abandon,00,Sunday,432,20.7,3.32,8.27,12.22
implicit_abandon,00,Wednesday,399,23.1,3.52,9.61,10.72
explicit_abandon,00,Thursday,261,69.15,13.80,8.96,81.48
explicit_abandon,00,Monday,319,60.22,10.79,12.82,82.38
explicit_abandon,00,Saturday,243,53.65,10.42,7.99,52.20
explicit_abandon,00,Wednesday,181,80.09,11.02,34.6,32.94
explicit_abandon,00,Sunday,166,46.64,9.49,7.66,50.40
explicit_abandon,00,Friday,333,63.43,12.59,7.82,80.05
explicit_abandon,00,Tuesday,267,54.22,10.73,7.42,67.39
no_cart,01,Sunday,50,20.74,5.12,5.26,45.97
no_cart,01,Friday,76,32.94,6.58,6.22,57.22
no_cart,01,Tuesday,75,23.55,4.31,5.98,53.67
no_cart,01,Monday,72,30.4,6.47,6.18,65.47
no_cart,01,Thursday,72,37.71,9.17,4.79,64.33
no_cart,01,Saturday,51,88.29,8.29,8.45,37.35
no_cart,01,Wednesday,51,23.69,4.18,5.43,48.10
purchase,01,Sunday,62,60.11,11.26,7.68,40.36
purchase,01,Friday,64,60.91,10.06,7.57,50.83
purchase,01,Tuesday,61,69.03,11.08,8.92,44.10
purchase,01,Monday,43,45.59,7.12,11.74,68.58
purchase,01,Wednesday,71,65.22,12.17,9.19,36.55
purchase,01,Saturday,49,57.18,8.65,10.31,38.69
purchase,01,Thursday,68,55.82,9.10,7.76,38.46
implicit_abandon,01,Tuesday,396,21.71,3.46,9.14,31.93
implicit_abandon,01,Friday,372,27.31,4.37,8.8,40.75
implicit_abandon,01,Wednesday,375,21.36,3.87,8.85,10.47
implicit_abandon,01,Monday,317,22.8,3.65,7.82,36.83
implicit_abandon,01,Saturday,282,29.92,4.34,11.25,23.10
implicit_abandon,01,Sunday,305,23.56,4.65,7.81,18.21
implicit_abandon,01,Thursday,370,24.88,3.93,8.45,18.99
explicit_abandon,01,Friday,171,55.08,8.38,9.58,90.82
explicit_abandon,01,Monday,169,51.85,9.11,9.59,52.35
explicit_abandon,01,Thursday,171,48.65,8.65,8.11,49.36
explicit_abandon,01,Wednesday,142,42.48,8.07,8.07,40.44
explicit_abandon,01,Tuesday,175,56.39,9.22,10.31,67.32
explicit_abandon,01,Sunday,141,51.91,8.17,11.53,23.57
explicit_abandon,01,Saturday,123,51.16,8.57,8.08,56.98
no_cart,02,Wednesday,61,26.98,4.64,6.53,31.52
no_cart,02,Tuesday,68,36.53,7.35,5.79,62.44
no_cart,02,Friday,92,33.83,6.29,6.23,57.44
no_cart,02,Sunday,41,44.76,10.41,11.49,25.88
