brand,view_cnt,cart_cnt,norm_view,norm_cart,brand_score
runail,352088,271920,1.0000,1.0000,1.0000
irisk,238733,183432,0.6780,0.6746,0.6750
grattol,251121,123752,0.7132,0.4551,0.4835
masura,185567,127655,0.5270,0.4695,0.4758
ingarden,95685,63691,0.2718,0.2342,0.2384
estel,130735,54570,0.3713,0.2007,0.2195
bpw.style,75052,51382,0.2132,0.1890,0.1916
kapous,127627,40775,0.3625,0.1500,0.1733
uno,67888,35902,0.1928,0.1320,0.1387
italwax,63612,35471,0.1807,0.1304,0.1360
freedecor,48218,32924,0.1369,0.1211,0.1228
bluesky,50156,31147,0.1425,0.1145,0.1176
pole,44028,28590,0.1250,0.1051,0.1073
jessnail,106577,21844,0.3027,0.0803,0.1048
haruyama,39592,26784,0.1124,0.0985,0.1000
concept,70092,23006,0.1991,0.0846,0.0972
nagaraku,24185,26139,0.0687,0.0961,0.0931
milv,34104,24870,0.0969,0.0915,0.0921
domix,37678,24390,0.1070,0.0897,0.0916
zinger,35345,19840,0.1004,0.0730,0.0760
lovely,29730,18203,0.0844,0.0669,0.0689
cnd,53548,15438,0.1521,0.0568,0.0673
cosmoprofi,37911,16655,0.1077,0.0612,0.0664
staleks,36025,14317,0.1023,0.0527,0.0581
lianail,28708,14987,0.0815,0.0551,0.0580
beautix,27070,15115,0.0769,0.0556,0.0579
f.o.x,26027,14584,0.0739,0.0536,0.0559
severina,15554,15078,0.0442,0.0555,0.0542
yoko,27878,13836,0.0792,0.0509,0.0540
oniq,34222,12761,0.0972,0.0469,0.0525
airnails,14166,13587,0.0402,0.0500,0.0489
uskusi,19799,12456,0.0562,0.0458,0.0470
pnb,24693,11332,0.0701,0.0417,0.0448
art-visage,16575,12057,0.0471,0.0443,0.0446
metzger,26910,9848,0.0764,0.0362,0.0406
de.lux,13157,10640,0.0374,0.0391,0.0389
roubloff,19928,9781,0.0566,0.0360,0.0382
farmstay,6638,8771,0.0189,0.0323,0.0308
browxenna,21518,7087,0.0611,0.0261,0.0299
dewal,17804,7107,0.0506,0.0261,0.0288
swarovski,7086,7643,0.0201,0.0281,0.0272
kinetics,16135,6447,0.0458,0.0237,0.0261
smart,7668,6987,0.0218,0.0257,0.0253
solomeya,16105,6185,0.0457,0.0227,0.0253
